station_id,region_id,short_name,capacity,lon,lat,external_id,geometry
66,3,SF-J29-1,39,-122.39274082710836,37.77874161153677,f7cd5ed5-b319-4723-93d2-188e3c3333e5,POINT (-122.3927408271084 37.77874161153677)
70,3,SF-K17,31,-122.44429260492325,37.77331087889723,5292350c-9e2a-4d8d-bed5-b2738edc1551,POINT (-122.4442926049232 37.77331087889723)
71,3,SF-K18,27,-122.4390777,37.7730627,b1a957d2-5e0e-4a99-bca3-7f3db21d30eb,POINT (-122.4390777 37.7730627)
72,3,SF-K19,27,-122.4356498,37.772406,5215d3e4-b85a-4499-a460-1b038f7a2bf1,POINT (-122.4356498 37.772406)
73,3,SF-K20,27,-122.4337079,37.7717933,1de96988-6dfc-4f97-8570-6d8664b6e88a,POINT (-122.4337079 37.7717933)
74,3,SF-J21,27,-122.42624402046204,37.776434819204745,83b33e8d-bf8c-4a2a-8ee3-942834af27b4,POINT (-122.426244020462 37.77643481920474)
75,3,SF-K22-1,35,-122.42123901844025,37.7737932060887,bf116a73-3718-46c1-ac14-c295963150ae,POINT (-122.4212390184402 37.7737932060887)
76,3,SF-K22-2,19,-122.42242321372034,37.77166246221617,d8b96e4a-7123-41db-a02c-e4ce48302578,POINT (-122.4224232137203 37.77166246221617)
77,3,SF-K24,19,-122.4160402,37.7735069,49754dc9-1925-4020-a599-704c9f064b03,POINT (-122.4160402 37.7735069)
78,3,SF-K25,27,-122.4116467,37.7737172,16fbff76-56d1-4e2b-b735-ec21b8cd3181,POINT (-122.4116467 37.7737172)
79,3,SF-K27,23,-122.4036725,37.7734919,5f048eb1-0b31-49ac-9d17-9b9880dc0ae9,POINT (-122.4036725 37.7734919)
80,3,SF-K28,35,-122.39743709564209,37.77523486860597,38a24ab3-8b5e-4d6d-804b-d4e89d19601e,POINT (-122.3974370956421 37.77523486860597)
81,3,SF-K29-1,35,-122.39317,37.77588,5f90cd60-c199-4919-a20c-a2e417627b9d,POINT (-122.39317 37.77588)
84,3,SF-L19,19,-122.4338119,37.7692005,d006bbb9-ba51-4958-9c4f-cdd78527bfa1,POINT (-122.4338119 37.7692005)
85,3,SF-L20,27,-122.4291557,37.7700831,38a02670-3056-43fb-8271-20fbf6baa538,POINT (-122.4291557 37.7700831)
86,3,SF-L21,19,-122.4268256,37.7693053,930fe54f-5572-4900-8910-6041386560bf,POINT (-122.4268256 37.7693053)
87,3,SF-L24,27,-122.415674,37.769757,04678a3e-1ec0-4493-a3cc-b92e74ab40ec,POINT (-122.415674 37.769757)
88,3,SF-L25,27,-122.4117258,37.7700298,a0406a84-2708-4727-84bf-9ca96894ef45,POINT (-122.4117258 37.7700298)
89,3,SF-L26,27,-122.40764558315276,37.76921786152374,2f20969c-74f7-4b6a-8e23-d4d1a31b75f5,POINT (-122.4076455831528 37.76921786152374)
