Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2019-02-12 01:40:58;2019-02-12 06:42:53;57%;5:01;:|;;0;1085
2019-02-13 01:12:42;2019-02-13 06:46:55;37%;5:34;:|;;0;3692
2019-02-14 02:57:25;2019-02-14 06:27:44;35%;3:30;:|;;0;1266
2019-02-15 02:12:12;2019-02-15 06:37:59;41%;4:25;:|;;0;943
2019-02-16 00:09:15;2019-02-16 07:02:41;76%;6:53;:|;;0;843
2019-02-17 02:20:25;2019-02-17 07:01:22;43%;4:40;:|;;0;810
2019-02-19 01:44:42;2019-02-19 06:02:45;48%;4:18;:|;;0;1299
2019-02-20 00:41:36;2019-02-20 06:01:34;52%;5:19;:|;;0;1777
2019-02-21 01:24:17;2019-02-21 06:00:36;53%;4:36;:|;;0;668
2019-02-21 23:05:00;2019-02-22 06:02:10;79%;6:57;:|;;0;1055
2019-02-24 03:56:22;2019-02-24 07:37:11;32%;3:40;:|;;0;3103
2019-02-25 01:08:13;2019-02-25 06:02:07;53%;4:53;:|;;0;2440
2019-02-26 00:43:42;2019-02-26 06:01:02;55%;5:17;:|;;0;2690
2019-02-27 00:43:21;2019-02-27 06:00:46;53%;5:17;:|;;0;1626
2019-02-28 01:23:20;2019-02-28 06:07:10;40%;4:43;:|;;0;2941
2019-03-03 02:43:40;2019-03-03 08:00:40;45%;5:17;:|;;0;14112
2019-03-04 00:23:33;2019-03-04 05:32:37;55%;5:09;:|;;0;5981
2019-03-05 00:09:27;2019-03-05 05:50:29;65%;5:41;:|;;0;3527
2019-03-06 00:13:56;2019-03-06 06:27:48;67%;6:13;:|;;0;2318
2019-03-07 01:56:31;2019-03-07 06:16:44;45%;4:20;:|;;0;2091
2019-03-08 01:01:46;2019-03-08 06:31:17;48%;5:29;:|;;0;1726
2019-03-09 00:05:25;2019-03-09 06:31:18;65%;6:25;:|;;0;1289
2019-03-10 05:23:44;2019-03-10 07:53:47;29%;2:30;:|;;0;9275
2019-03-10 23:59:34;2019-03-11 06:30:46;74%;6:31;:|;;0;6766
2019-03-12 01:03:55;2019-03-12 05:51:36;53%;4:47;;Coffee;0;158
2019-03-13 02:59:09;2019-03-13 08:38:47;59%;5:39;;Stressful day;0;2759
2019-03-14 00:53:29;2019-03-14 06:22:36;58%;5:29;;Coffee;0;3499
2019-03-15 01:26:37;2019-03-15 05:52:06;50%;4:25;;Coffee:Worked out;0;2078
2019-03-16 01:34:37;2019-03-16 07:00:49;59%;5:26;;Ate late:Coffee:Worked out;0;3323
2019-03-17 03:57:24;2019-03-17 08:14:56;50%;4:17;;Ate late:Coffee:Worked out;0;0
2019-03-17 23:26:20;2019-03-18 07:18:33;64%;7:52;;Ate late:Coffee:Stressful day;0;7860
2019-03-19 02:43:04;2019-03-19 06:49:26;42%;4:06;;Ate late:Coffee:Worked out;0;2091
2019-03-20 01:24:07;2019-03-20 06:28:25;42%;5:04;;Coffee:Stressful day;0;2194
2019-03-20 06:38:26;2019-03-20 08:35:30;24%;1:57;;;0;0
2019-03-21 01:50:47;2019-03-21 06:29:09;45%;4:38;;Ate late:Coffee:Stressful day:Worked out;0;4221
2019-03-21 06:49:49;2019-03-21 08:31:46;19%;1:41;;;0;0
2019-03-22 01:22:55;2019-03-22 06:38:39;58%;5:15;;Ate late:Coffee:Worked out;0;3080
2019-03-23 01:49:51;2019-03-23 08:43:18;71%;6:53;;Ate late:Coffee:Stressful day;0;407
2019-03-24 01:28:08;2019-03-24 06:57:32;54%;5:29;;Ate late:Coffee:Stressful day;0;1953
2019-03-27 00:14:17;2019-03-27 06:40:57;72%;6:26;;Coffee;0;0
2019-03-29 00:49:38;2019-03-29 06:15:59;58%;5:26;;Ate late:Coffee:Stressful day:Worked out;0;3245
2019-03-30 01:04:56;2019-03-30 09:20:52;74%;8:15;;Ate late:Coffee:Stressful day:Worked out;0;2526
2019-03-31 01:51:39;2019-03-31 07:30:19;61%;5:38;;Ate late:Coffee;0;1078
2019-04-02 01:46:58;2019-04-02 06:34:01;55%;4:47;;Ate late:Coffee:Worked out;0;3071
2019-04-03 01:43:58;2019-04-03 06:46:45;50%;5:02;;Coffee:Worked out;0;2513
2019-04-04 02:16:14;2019-04-04 04:53:23;27%;2:37;;Ate late:Coffee;0;5186
2019-04-05 00:54:57;2019-04-05 06:52:44;65%;5:57;;Coffee:Worked out;0;4671
2019-04-06 01:18:18;2019-04-06 07:33:07;62%;6:14;;Ate late;0;1035
2019-04-09 01:54:17;2019-04-09 06:42:33;51%;4:48;;Ate late:Worked out;0;3271
2019-04-10 02:03:05;2019-04-10 06:31:38;51%;4:28;;Ate late:Stressful day:Worked out;0;2500
2019-04-11 02:30:39;2019-04-11 07:53:38;59%;5:22;;Ate late:Coffee:Stressful day;0;2111
2019-04-12 01:59:34;2019-04-12 06:40:16;49%;4:40;;Coffee:Worked out;0;2406
2019-04-14 03:00:54;2019-04-14 06:38:10;41%;3:37;;Ate late:Coffee:Stressful day;0;607
2019-04-15 02:23:02;2019-04-15 06:44:15;49%;4:21;;Ate late:Coffee:Stressful day;0;2798
2019-04-15 07:09:11;2019-04-15 09:05:33;18%;1:56;;;0;0
2019-04-16 01:30:51;2019-04-16 06:22:07;53%;4:51;;Ate late:Coffee:Stressful day;0;1534
2019-04-16 06:22:25;2019-04-16 08:31:11;9%;2:08;;;0;8
2019-04-17 02:56:36;2019-04-17 07:01:53;43%;4:05;;Ate late:Coffee;0;937
2019-04-18 02:13:46;2019-04-18 07:01:30;50%;4:47;;Coffee:Worked out;0;2879
2019-04-19 02:53:34;2019-04-19 07:59:40;54%;5:06;;Ate late:Coffee:Stressful day;0;1240
2019-04-21 02:58:36;2019-04-21 07:25:53;45%;4:27;;Ate late:Stressful day;0;1038
2019-04-22 03:28:38;2019-04-22 07:17:20;42%;3:48;;Coffee:Stressful day;0;1271
2019-04-23 02:54:02;2019-04-23 07:54:39;44%;5:00;;Ate late:Coffee:Stressful day:Worked out;0;2144
2019-04-24 02:14:20;2019-04-24 04:44:05;27%;2:29;;Coffee:Worked out;0;3412
2019-04-25 02:37:08;2019-04-25 07:31:19;53%;4:54;;Ate late:Coffee:Stressful day:Worked out;0;2949
2019-04-26 02:38:59;2019-04-26 08:03:27;53%;5:24;;Ate late:Coffee:Stressful day;0;1086
2019-04-27 01:09:28;2019-04-27 06:48:05;60%;5:38;;Ate late:Coffee:Stressful day;0;938
2019-04-28 02:35:15;2019-04-28 07:12:57;48%;4:37;;Coffee:Stressful day;0;1016
2019-04-30 02:52:10;2019-04-30 07:03:43;45%;4:11;;Ate late:Coffee:Worked out;0;1946
2019-05-01 02:17:53;2019-05-01 02:37:59;4%;0:20;;Ate late:Coffee:Worked out;0;1264
2019-05-01 03:45:33;2019-05-01 07:58:21;43%;4:12;;Ate late:Coffee:Worked out;0;1264
2019-05-02 02:29:07;2019-05-02 07:02:01;45%;4:32;;Ate late:Coffee:Worked out;0;3237
2019-05-03 02:05:17;2019-05-03 07:11:44;55%;5:06;;Ate late:Coffee;0;4819
2019-05-04 02:16:21;2019-05-04 07:30:18;52%;5:13;;Ate late:Coffee;0;1076
2019-05-05 01:54:38;2019-05-05 06:55:32;54%;5:00;;Ate late:Coffee:Stressful day;0;1797
2019-05-07 02:27:50;2019-05-07 07:36:21;54%;5:08;;Ate late:Coffee;0;928
2019-05-08 01:13:05;2019-05-08 06:32:18;58%;5:19;;Ate late:Coffee:Worked out;0;1417
2019-05-10 01:43:10;2019-05-10 06:24:19;50%;4:41;;;0;1741
2019-05-11 01:28:23;2019-05-11 09:01:06;77%;7:32;;Coffee:Stressful day;0;1506
2019-05-12 00:39:37;2019-05-12 06:26:36;64%;5:46;;Coffee:Stressful day;0;1291
2019-05-13 01:47:54;2019-05-13 07:58:06;67%;6:10;;Coffee:Stressful day;0;1170
2019-05-14 02:16:40;2019-05-14 06:47:02;46%;4:30;;Coffee:Stressful day:Worked out;0;3309
2019-05-15 03:25:39;2019-05-15 07:17:22;42%;3:51;;Ate late:Coffee:Stressful day:Worked out;0;1697
2019-05-16 03:23:17;2019-05-16 09:26:42;63%;6:03;;Coffee:Stressful day;0;7804
2019-05-17 01:55:49;2019-05-17 08:48:26;74%;6:52;;Coffee:Stressful day;0;2793
2019-05-18 01:27:58;2019-05-18 07:37:12;67%;6:09;;Ate late:Coffee:Stressful day;0;1532
2019-05-20 02:53:46;2019-05-20 10:40:25;77%;7:46;;Coffee:Stressful day:Worked out;0;3129
2019-05-21 01:53:44;2019-05-21 07:14:34;58%;5:20;;;0;5400
2019-05-22 02:44:55;2019-05-22 06:59:46;44%;4:14;;Ate late:Coffee:Stressful day;0;3533
2019-05-23 02:04:05;2019-05-23 06:57:33;50%;4:53;;Stressful day;0;1965
2019-05-24 00:54:46;2019-05-24 06:48:11;65%;5:53;;Ate late:Coffee:Stressful day;0;1521
2019-05-25 01:26:37;2019-05-25 07:43:19;67%;6:16;;Ate late:Coffee:Stressful day;0;545
2019-05-26 01:29:52;2019-05-26 07:28:58;59%;5:59;;Ate late:Coffee:Stressful day;0;1796
2019-05-27 03:27:41;2019-05-27 10:59:33;82%;7:31;;Ate late:Coffee:Stressful day;0;2272
2019-05-28 01:56:30;2019-05-28 08:12:28;60%;6:15;;Ate late:Stressful day;0;5473
2019-05-29 01:57:39;2019-05-29 06:53:53;48%;4:56;;Ate late:Coffee:Stressful day;0;1953
2019-05-30 02:12:50;2019-05-30 10:30:50;0%;0:00;;Ate late:Coffee:Stressful day;0;0
2019-05-31 02:24:03;2019-05-31 06:37:34;45%;4:13;;Ate late:Coffee:Stressful day;0;1283
2019-06-01 03:33:50;2019-06-01 06:39:05;32%;3:05;;Ate late:Coffee:Stressful day;0;2687
2019-06-02 01:10:10;2019-06-02 04:32:26;37%;3:22;;Ate late:Coffee:Stressful day;0;8107
2019-06-03 23:54:59;2019-06-04 04:22:53;49%;4:27;;Ate late:Stressful day;0;20264
2019-06-05 00:22:08;2019-06-05 03:35:30;33%;3:13;;Ate late:Coffee:Stressful day;0;18790
2019-06-06 01:06:47;2019-06-06 08:19:10;72%;7:12;;Coffee:Stressful day;0;6203
2019-06-07 02:56:18;2019-06-07 08:30:10;58%;5:33;;Coffee:Stressful day;0;663
2019-06-08 02:00:38;2019-06-08 09:56:34;66%;7:55;;Coffee:Stressful day;0;1254
2019-06-09 04:20:38;2019-06-09 09:51:17;48%;5:30;;Ate late:Coffee:Stressful day;0;0
2019-06-10 03:49:30;2019-06-10 09:04:04;58%;5:14;;Coffee:Stressful day;0;3211
2019-06-11 01:14:03;2019-06-11 06:12:51;53%;4:58;;Coffee:Worked out;0;1695
2019-06-12 02:07:57;2019-06-12 08:15:07;61%;6:07;;Ate late:Coffee:Stressful day;0;1767
2019-06-13 01:34:38;2019-06-13 07:29:53;65%;5:55;;Ate late:Coffee:Stressful day;0;998
2019-06-14 01:08:09;2019-06-14 06:25:14;54%;5:17;;Ate late:Coffee:Stressful day;0;1530
2019-06-16 04:33:29;2019-06-16 08:34:37;45%;4:01;;Coffee:Stressful day;0;6355
2019-06-17 01:31:58;2019-06-17 06:59:12;57%;5:27;;Coffee:Stressful day;0;2352
2019-06-18 02:44:17;2019-06-18 09:01:49;65%;6:17;;Ate late:Coffee:Stressful day;0;2592
2019-06-20 03:39:28;2019-06-20 08:05:43;45%;4:26;;Ate late:Coffee:Stressful day;0;2263
2019-06-21 03:28:05;2019-06-21 08:31:27;54%;5:03;;Ate late:Coffee:Stressful day;0;5683
2019-06-23 03:04:46;2019-06-23 09:36:02;61%;6:31;;Coffee:Stressful day;0;5507
2019-06-24 01:11:24;2019-06-24 07:42:26;65%;6:31;;Coffee:Stressful day;0;1970
2019-06-25 00:50:40;2019-06-25 08:50:50;72%;8:00;;Coffee:Stressful day:Worked out;0;4691
2019-06-26 01:16:40;2019-06-26 05:44:45;49%;4:28;;Coffee:Stressful day:Worked out;0;3721
2019-06-27 03:08:57;2019-06-27 08:56:02;49%;5:47;;Ate late:Coffee:Stressful day;0;1887
2019-06-28 02:37:42;2019-06-28 07:21:57;49%;4:44;;Coffee:Stressful day:Worked out;0;1999
2019-06-29 03:15:11;2019-06-29 06:33:27;36%;3:18;;Ate late:Coffee:Stressful day;0;2126
2019-06-30 03:41:02;2019-06-30 08:03:11;51%;4:22;;Ate late:Coffee:Stressful day;0;4772
2019-07-01 01:44:52;2019-07-01 06:18:58;0%;0:00;;Coffee:Stressful day;0;0
2019-07-01 06:19:19;2019-07-01 07:04:26;9%;0:45;;Stressful day;0;25
2019-07-02 02:22:31;2019-07-02 06:56:55;51%;4:34;;Coffee:Stressful day:Worked out;0;2526
2019-07-04 02:15:31;2019-07-04 07:36:47;53%;5:21;;Ate late:Coffee:Stressful day:Worked out;0;1600
2019-07-06 01:51:51;2019-07-06 09:01:01;70%;7:09;;Ate late:Coffee:Stressful day:Worked out;0;1406
2019-07-07 03:49:38;2019-07-07 07:50:59;43%;4:01;;Coffee:Stressful day:Worked out;0;0
2019-07-08 03:05:24;2019-07-08 08:05:40;56%;5:00;;Ate late:Coffee:Stressful day;0;2571
2019-07-10 01:53:45;2019-07-10 07:23:06;60%;5:29;;Coffee:Worked out;0;2829
2019-07-12 01:12:25;2019-07-12 06:17:32;50%;5:05;;Ate late:Coffee:Stressful day;0;2862
2019-07-13 01:51:51;2019-07-13 07:36:49;55%;5:44;;Coffee:Stressful day:Worked out;0;2763
